# code: zh-tw
# key, value

language_name,中文(繁體)
convert_hold_to_guide,將長按轉換為引導
convert_hold_to_none,轉換為無
lerp_hispeeds,插值高速
step_type,長按中繼點類型
step_alpha,引導不透明度
ease_type,緩動類型
flick_type,滑動類型
hold_type,長按類型
fade_type,淡入淡出類型
hold_start_type,長按開始類型
hold_end_type,長按結束類型
metadata,元數據
title,標題
designer,譜面設計
artist,藝術家
jacket,封面
lane_extension,軌道擴展
life_point,生命值
audio,音訊
music_file,音樂檔案
music_offset,音樂偏移
volume_master,主音量
volume_bgm,BGM 音量
volume_se,SE 音量
playback_speed,播放速度
statistics,統計
hispeeds,高速
taps,點擊
flicks,滑動
holds,長按
steps,長按中繼點
guides,引導
traces,軌跡
total,總計
combo,Combo
goto_measure,跳轉到小節
division,%d 分割
division_affix,%d 分割
custom,自訂
snap_mode,吸附模式
snap_mode_relative,相對吸附
snap_mode_absolute,絕對吸附
snap_mode_individual_absolute,單獨絕對吸附
zoom,縮放
zoom_sensitivity,縮放靈敏度
show_step_outlines,顯示長按中繼點輪廓
hide_step_outlines_during_playback,回放過程中隱藏中繼點輪廓
draw_waveform,顯示波形
stop_playback_at_music_end,音樂結束時停止回放
edit_bpm,編輯 BPM
tick,刻度
remove,移除
edit_time_signature,編輯拍號
measure,小節
skill,技能
skill_effect,效果
skill_effect_score,分數加成
skill_effect_heal,回復
skill_effect_perfect,判定強化
skill_level,等級
increase_note_size,增大音符尺寸
decrease_note_size,減小音符尺寸
hi_speed,高速
edit_hi_speed,編輯高速
hi_speed_speed,速度
hi_speed_skip_beat,跳過
hi_speed_ease,緩動
hi_speed_ease_none,無
hi_speed_ease_linear,線性
hi_speed_hide_notes,隱藏音符
fade_none,無淡入淡出
fade_in,淡入
fade_out,淡出
fade_custom,自訂淡入淡出
fade_classic,經典淡入淡出
guide_color,引導顏色
guide_neutral,中性
guide_red,紅色
guide_blue,藍色
guide_green,綠色
guide_yellow,黃色
guide_purple,紫色
guide_cyan,青色
guide_black,黑色
layer,圖層
edit_skill,編輯技能觸發
edit_fever,編輯 FEVER 觸發
edit_none,編輯
edit_event,編輯事件
beat,節拍
lane,軌道
width,寬度
advanced,進階
note_properties_note,音符屬性
note_properties_hi_speed,高速屬性
note_properties_hold_note,長按音符屬性
note_properties_guide,引導屬性
note_properties_not_selected,未選取任何音符或高速
note_properties_mixed_value,--混合--
translated_by,翻譯者: %s
zoom_tooltip,Ctrl + 點擊以編輯數值
timeline_context_not_selected,未開啟或選取時間軸
extended_score,擴展譜面
note_select_tool_tip,Ctrl 鍵以選取或 Alt 鍵以取消選取

# preset manager
presets,預設
no_presets,沒有可用的預設
preset_name,名稱
description,描述
create_preset,建立預設
search,搜尋...
confirm,確認

# layer manager
layers,圖層
layer_name,名稱
#- layer_force_note_speed,
create_layer,建立圖層
show_all_layers,顯示所有圖層
layer_rename,重新命名圖層
layer_up,上移
layer_down,下移
layer_merge,合併圖層
layer_delete,刪除圖層
layer_hide,隱藏圖層
layer_show,顯示圖層
layer_change_order,變更圖層順序
layer_order_tooltip,拖曳以重新排序
layer_merge_warning,存在高速重疊，它們將被刪除。無論如何都要合併嗎？

# waypoint manager
waypoints,路徑點
create_waypoint,建立路徑點
edit_waypoint,編輯路徑點
waypoint_name,名稱
insert_skill,插入技能
set_fever_start,設定 Fever 開始
set_fever_end,設定 Fever 結束

# commands
action,動作
keys,按鍵
add,新增
cmd_key_listen,正在等待輸入...
new_chart,新增譜面
toggle_playback,播放 / 暫停
cancel_paste,取消貼上
stop,停止
previous_tick,上一個刻度
next_tick,下一個刻度
timeline_select,時間軸 - 選取
timeline_tap,時間軸 - 插入藍鍵
timeline_hold,時間軸 - 插入長按
timeline_hold_step,時間軸 - 插入長按中繼點
timeline_flick,時間軸 - 插入上滑
timeline_critical,時間軸 - 插入黃鍵
timeline_trace,時間軸 - 插入軌跡(Trace)
timeline_guide,時間軸 - 插入引導
timeline_damage,時間軸 - 插入傷害鍵
timeline_dummy,時間軸 - 插入假音符
timeline_bpm,時間軸 - 插入 BPM
timeline_time_signature,時間軸 - 插入拍號
timeline_hi_speed,時間軸 - 插入高速變更
zoom_in,放大
zoom_out,縮小
